PetID,Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID
28,Dog,14,Rottweiler,None,Male,Black,Brown,None,Large,Short,Yes,Yes,No,Healthy,1,1,Selangor,5526647
29,Cat,1,Domestic Short Hair,None,Female,Brown,White,None,Small,Short,No,Yes,No,Healthy,1,0,Pulau Pinang,835213
30,Dog,4,Shih Tzu,Terrier,Mixed,Brown,White,None,Small,Medium,Yes,Yes,Yes,Healthy,2,0,Selangor,5005413
31,Cat,1,Domestic Short Hair,None,Male,Black,None,None,Small,Short,No,No,No,Healthy,1,0,Terengganu,8849343
32,Dog,24,Mixed Breed,None,Male,Cream,White,None,Medium,Short,Yes,Yes,No,Healthy,5,0,Selangor,4569217
33,Cat,4,Domestic Short Hair,None,Female,Black,Gray,White,Small,Short,No,No,No,Healthy,2,0,Selangor,2216849
34,Cat,3,Domestic Short Hair,None,Female,Black,White,None,Small,Short,Yes,No,No,Healthy,1,1,Pulau Pinang,1468290
35,Cat,12,Domestic Long Hair,None,Female,Gray,None,None,Medium,Long,No,No,No,Healthy,1,0,Selangor,6809934
36,Cat,24,Domestic Medium Hair,Siamese,Female,Black,Yellow,None,Medium,Medium,Yes,Yes,Not Sure,Healthy,3,0,Selangor,7435206
37,Cat,2,Domestic Medium Hair,None,Female,Brown,None,None,Small,Medium,No,No,No,Healthy,1,0,Selangor,654616
38,Dog,12,Mixed Breed,None,Male,Black,None,None,Medium,Short,No,No,No,Healthy,1,0,Johor,2703532
39,Dog,12,Mixed Breed,None,Male,Cream,None,None,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,2891406
40,Cat,2,Domestic Medium Hair,Domestic Short Hair,Female,White,None,None,Medium,Medium,No,Yes,No,Healthy,1,0,Selangor,2004838
41,Cat,1,Domestic Short Hair,None,Mixed,Black,Brown,White,Small,Short,No,No,No,Healthy,3,0,Selangor,6891174
42,Cat,24,Siamese,Persian,Female,White,None,None,Medium,Long,Not Sure,Not Sure,Not Sure,Minor Injury,6,0,Selangor,4717662
43,Dog,5,Jack Russell Terrier,Mixed Breed,Male,White,None,None,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,8764896
44,Dog,12,Mixed Breed,None,Male,Brown,White,None,Medium,Medium,No,Yes,Yes,Healthy,1,0,Johor,7863189
45,Dog,4,Mixed Breed,None,Male,Black,White,None,Medium,Short,No,No,No,Healthy,2,0,Selangor,919269
46,Cat,5,Domestic Medium Hair,None,Male,Yellow,White,None,Small,Long,Yes,Yes,No,Healthy,1,0,Selangor,6707409
47,Dog,72,Mixed Breed,None,Female,Brown,White,None,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,6348611
48,Dog,1,Mixed Breed,None,Mixed,Black,Brown,None,Medium,Short,Not Sure,Not Sure,No,Healthy,9,0,Selangor,7823502
49,Cat,60,Domestic Long Hair,None,Male,Black,Brown,White,Large,Long,Yes,Yes,Yes,Healthy,1,0,Selangor,3606931
50,Dog,1,Mixed Breed,Labrador Retriever,Female,Black,None,None,Medium,Medium,No,Yes,Yes,Healthy,2,0,Selangor,2172418
51,Cat,6,Domestic Short Hair,None,Male,Black,Brown,White,Medium,Short,Yes,Yes,Yes,Healthy,1,100,Kuala Lumpur,5972321
52,Dog,2,Mixed Breed,None,Male,Brown,White,None,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,6921732
53,Dog,12,Mixed Breed,Mixed Breed,Female,Brown,None,None,Medium,Medium,Yes,Yes,Yes,Healthy,2,0,Selangor,8543656
54,Dog,3,Mixed Breed,None,Female,Brown,White,None,Small,Short,Not Sure,Not Sure,Not Sure,Minor Injury,1,0,Selangor,2259366
55,Cat,3,Domestic Medium Hair,None,Mixed,Yellow,Gray,White,Small,Medium,Yes,Yes,No,Healthy,2,0,Kuala Lumpur,3725972
56,Cat,5,Domestic Short Hair,None,Male,Black,White,None,Medium,Short,No,Yes,No,Healthy,1,30,Selangor,9861932
57,Dog,24,Mixed Breed,None,Female,Cream,None,None,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Selangor,4857475
58,Dog,4,Mixed Breed,None,Male,Cream,None,None,Large,Medium,No,No,No,Healthy,1,0,Selangor,955967
59,Cat,2,American Shorthair,None,Mixed,Black,Gray,White,Small,Short,Not Sure,Not Sure,Not Sure,Healthy,6,0,Kuala Lumpur,8439502
60,Cat,1,Domestic Short Hair,None,Female,Yellow,None,None,Medium,Short,No,No,No,Healthy,1,0,Selangor,1796347
61,Dog,9,Mixed Breed,None,Male,Brown,Cream,None,Medium,Short,Yes,Yes,Not Sure,Healthy,1,0,Pulau Pinang,2634608
62,Dog,60,Mixed Breed,None,Female,Brown,Cream,None,Medium,Short,No,No,Yes,Healthy,1,0,Selangor,5494350
63,Dog,2,Mixed Breed,None,Male,Black,Brown,None,Medium,Medium,No,No,No,Healthy,1,0,Pulau Pinang,4329164
64,Dog,2,Spitz,Mixed Breed,Mixed,Black,Golden,White,Medium,Long,Yes,Yes,No,Healthy,7,0,Selangor,3412301
65,Dog,48,Shih Tzu,None,Female,Brown,Cream,None,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,8706967
66,Cat,3,Domestic Short Hair,None,Female,Brown,None,None,Medium,Short,No,No,No,Healthy,1,0,Melaka,5252382
67,Cat,4,Domestic Short Hair,None,Male,Black,Golden,None,Small,Short,No,Yes,No,Healthy,2,0,Kuala Lumpur,7788884
68,Cat,9,Domestic Short Hair,None,Female,Brown,White,None,Medium,Short,No,No,No,Healthy,1,0,Kuala Lumpur,2966938
69,Dog,62,Mixed Breed,None,Male,Black,Golden,Gray,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,3660505
70,Dog,36,Mixed Breed,None,Female,Black,Brown,None,Medium,Short,Yes,Yes,Yes,Healthy,5,0,Selangor,4084067
71,Dog,1,Mixed Breed,Mixed Breed,Female,Black,Brown,None,Medium,Medium,No,Yes,No,Healthy,1,0,Selangor,7630638
72,Dog,2,Labrador Retriever,Jack Russell Terrier,Male,Black,Brown,White,Small,Short,Yes,Not Sure,No,Healthy,1,0,Kuala Lumpur,5422507
73,Dog,2,Mixed Breed,None,Male,Black,Brown,None,Small,Short,Yes,Yes,No,Healthy,1,0,Selangor,3605702
74,Dog,1,Pit Bull Terrier,Finnish Spitz,Mixed,Black,Brown,White,Medium,Medium,No,No,No,Healthy,9,100,Pahang,57672
75,Dog,2,Mixed Breed,None,Female,Brown,Cream,None,Medium,Short,No,Yes,No,Healthy,1,0,Johor,7040611
76,Dog,2,Mixed Breed,None,Female,Black,None,None,Large,Short,Yes,Yes,No,Healthy,2,0,Selangor,4835487
77,Dog,12,Mixed Breed,None,Female,Brown,None,None,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,2092410
78,Dog,2,Mixed Breed,Mixed Breed,Male,Brown,None,None,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,459257
79,Dog,1,Mixed Breed,None,Female,Brown,White,None,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,898837
80,Dog,2,Mixed Breed,None,Female,Black,Brown,None,Medium,Short,Yes,No,No,Healthy,1,0,Pulau Pinang,1520030
81,Dog,3,Silky Terrier,None,Male,Black,Brown,None,Small,Long,Yes,Yes,Not Sure,Healthy,1,750,Selangor,2356058
82,Dog,3,Mixed Breed,None,Male,Black,White,None,Medium,Medium,No,Yes,No,Healthy,1,0,Kedah,1741469
83,Dog,3,Mixed Breed,Labrador Retriever,Male,Cream,None,None,Medium,Medium,Not Sure,Not Sure,No,Healthy,1,0,Selangor,889005
84,Cat,6,Domestic Medium Hair,None,Female,Cream,White,None,Medium,Medium,No,Yes,No,Healthy,1,50,Selangor,1836579
85,Dog,1,Mixed Breed,None,Female,Black,Brown,None,Medium,Medium,No,No,No,Healthy,2,0,Selangor,4868657
86,Cat,47,Bombay,Persian,Female,Black,Brown,None,Medium,Long,No,No,No,Healthy,1,0,Selangor,4729267
87,Dog,2,Rottweiler,Mixed Breed,Male,Black,Brown,None,Large,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Selangor,2052000
88,Dog,12,Mixed Breed,None,Female,Cream,None,None,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Perak,7288
89,Dog,2,Mixed Breed,Dalmatian,Male,Black,White,None,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,1482354
90,Dog,1,Mixed Breed,None,Male,Brown,None,None,Medium,Short,No,No,No,Healthy,1,0,Perak,2037372
91,Cat,1,Domestic Short Hair,Domestic Short Hair,Mixed,Brown,Golden,White,Small,Medium,No,No,No,Healthy,2,0,Selangor,7903346
92,Dog,1,Mixed Breed,Mixed Breed,Mixed,Brown,White,None,Medium,Short,No,No,No,Healthy,5,0,Selangor,4618479
93,Cat,24,Domestic Short Hair,None,Male,Yellow,None,None,Large,Short,No,No,No,Minor Injury,1,0,Melaka,9051146
94,Cat,24,Domestic Short Hair,None,Female,Brown,Yellow,None,Medium,Short,No,No,Yes,Healthy,1,0,Selangor,6728553
95,Dog,2,Mixed Breed,None,Male,Black,Brown,None,Medium,Short,No,No,No,Healthy,1,0,Pulau Pinang,6880135
96,Cat,19,Persian,None,Female,Black,Gray,None,Large,Long,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,4811809
97,Dog,4,Silky Terrier,Pekingese,Female,Brown,None,None,Small,Long,Not Sure,Yes,Yes,Healthy,1,0,Kuala Lumpur,1970515
98,Dog,24,Mixed Breed,None,Male,Brown,White,None,Medium,Short,No,No,No,Healthy,1,0,Johor,8094179
99,Cat,3,Domestic Medium Hair,None,Male,Black,White,None,Medium,Medium,Not Sure,Not Sure,No,Healthy,1,0,Selangor,7092284
100,Cat,1,Domestic Long Hair,None,Mixed,Cream,Gray,None,Small,Medium,No,No,No,Healthy,2,0,Kuala Lumpur,1021593
101,Dog,24,Husky,Mixed Breed,Female,Black,Gray,White,Medium,Medium,Not Sure,Not Sure,Yes,Healthy,1,0,Selangor,5286826
102,Dog,60,Schnauzer,None,Male,Gray,None,None,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,8941468
103,Dog,1,Mixed Breed,Mixed Breed,Female,Black,Brown,White,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,393704
104,Cat,3,Domestic Short Hair,None,Female,Brown,Golden,None,Small,Short,Yes,Yes,No,Healthy,1,0,Selangor,5823635
105,Cat,2,Domestic Medium Hair,None,Male,Golden,None,None,Small,Medium,No,No,No,Healthy,1,0,Kuala Lumpur,4722873
106,Cat,1,Domestic Short Hair,Domestic Short Hair,Mixed,Black,White,None,Medium,Short,Yes,Yes,No,Healthy,2,1,Kuala Lumpur,771475
107,Dog,2,Mixed Breed,None,Female,Black,Brown,None,Medium,Short,No,No,No,Healthy,1,0,Kuala Lumpur,5973261
108,Cat,2,Domestic Short Hair,None,Female,Gray,White,None,Medium,Short,No,Yes,No,Healthy,1,0,Kuala Lumpur,4759290
109,Dog,3,Mixed Breed,None,Female,Brown,None,None,Medium,Short,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,4998577
110,Dog,2,Mixed Breed,Mixed Breed,Female,Black,Yellow,White,Large,Short,No,No,No,Healthy,6,0,Pulau Pinang,112758
111,Cat,12,Tabby,None,Female,Golden,Gray,White,Medium,Medium,Yes,No,Yes,Healthy,2,0,Melaka,3462441
112,Cat,4,Domestic Short Hair,Tuxedo,Female,Black,White,None,Medium,Short,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,5790166
113,Dog,120,Mixed Breed,None,Male,Black,Brown,White,Large,Short,Not Sure,Not Sure,Not Sure,Healthy,1,0,Kuala Lumpur,2280777
114,Dog,3,Mixed Breed,None,Female,Brown,None,None,Medium,Short,No,No,No,Healthy,1,0,Selangor,2800758
115,Cat,1,Domestic Medium Hair,None,Mixed,Brown,Cream,White,Small,Medium,No,No,No,Healthy,4,0,Selangor,6614199
116,Dog,36,Golden Retriever,None,Female,Brown,Golden,Yellow,Large,Medium,Yes,Yes,No,Healthy,1,0,Selangor,4306828
117,Cat,3,Domestic Short Hair,None,Female,Black,Brown,White,Small,Short,No,Yes,No,Healthy,1,0,Selangor,7573701
118,Cat,60,Persian,None,Male,Golden,None,None,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,9224001
119,Cat,1,Domestic Short Hair,None,Female,Brown,Cream,White,Medium,Short,No,Yes,Not Sure,Healthy,1,0,Selangor,120868
120,Dog,3,Mixed Breed,None,Mixed,Black,Brown,White,Medium,Medium,Yes,Yes,No,Healthy,3,150,Selangor,9938277
121,Dog,36,Rottweiler,None,Male,Black,Cream,None,Large,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,2498980
122,Dog,12,Siberian Husky,None,Male,Black,Gray,White,Medium,Medium,Yes,No,No,Healthy,1,400,Negeri Sembilan,9280870
123,Cat,1,Domestic Short Hair,None,Mixed,Black,Gray,White,Small,Short,No,Not Sure,No,Healthy,4,0,Kuala Lumpur,7559612
124,Dog,0,Mixed Breed,Mixed Breed,Mixed,Black,Brown,Golden,Large,Short,Not Sure,Not Sure,Not Sure,Healthy,2,0,Selangor,4139571
125,Cat,1,Domestic Medium Hair,None,Male,Black,White,None,Small,Medium,No,No,No,Healthy,1,0,Selangor,1174335
126,Dog,5,Collie,Basenji,Male,Cream,White,None,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,2552666
127,Dog,24,German Shepherd Dog,Mixed Breed,Female,Black,Brown,None,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Kuala Lumpur,5918393
128,Dog,3,Mixed Breed,None,Male,Brown,None,None,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,4531952
129,Dog,3,Mixed Breed,None,Female,Brown,None,None,Small,Short,Not Sure,Not Sure,Not Sure,Healthy,3,0,Negeri Sembilan,4660838
130,Dog,4,Mixed Breed,None,Female,Black,None,None,Medium,Short,No,Yes,No,Healthy,1,0,Pahang,8999664
131,Cat,3,Domestic Short Hair,None,Mixed,Black,White,None,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,2,0,Selangor,485386
132,Cat,1,Domestic Medium Hair,None,Female,Black,White,None,Small,Medium,No,No,No,Healthy,5,0,Negeri Sembilan,9931163
133,Cat,8,Siamese,Domestic Short Hair,Male,Brown,Cream,None,Medium,Short,Yes,Yes,No,Healthy,1,50,Selangor,3677770
134,Cat,2,Tortoiseshell,Domestic Short Hair,Mixed,Black,Brown,None,Medium,Short,No,No,No,Healthy,2,0,Negeri Sembilan,7069108
135,Dog,32,Mixed Breed,Mixed Breed,Mixed,Black,Yellow,Cream,Medium,Short,Yes,Yes,Yes,Healthy,2,0,Selangor,1680426
136,Dog,3,Doberman Pinscher,Mixed Breed,Mixed,Black,Brown,None,Large,Short,Yes,Yes,No,Healthy,3,0,Selangor,3032403
137,Cat,12,Domestic Medium Hair,None,Male,Black,None,None,Medium,Medium,No,No,No,Healthy,1,0,Selangor,788301
138,Dog,4,Mixed Breed,Bluetick Coonhound,Female,Black,Brown,White,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Selangor,3564643
139,Dog,2,Mixed Breed,None,Male,Black,Brown,None,Medium,Short,No,Not Sure,No,Healthy,1,0,Selangor,7232886
140,Cat,7,Calico,Tortoiseshell,Female,Black,Yellow,White,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,7378863
141,Cat,5,Domestic Long Hair,None,Male,Yellow,None,None,Medium,Long,No,Yes,No,Healthy,1,100,Kuala Lumpur,9865867
142,Cat,2,Domestic Medium Hair,None,Female,Gray,White,None,Medium,Medium,Yes,Yes,No,Healthy,2,0,Kuala Lumpur,9723653
143,Dog,60,American Staffordshire Terrier,None,Female,Black,White,None,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Kuala Lumpur,3312913
144,Cat,4,Domestic Medium Hair,Bengal,Mixed,Black,Golden,White,Medium,Medium,No,No,No,Healthy,5,0,Kuala Lumpur,7233803
145,Dog,120,Beagle,Schnauzer,Male,Brown,None,None,Medium,Short,Yes,Yes,No,Healthy,2,0,Selangor,4470292
146,Dog,12,Mixed Breed,None,Female,Brown,None,None,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,7124014
147,Cat,17,Domestic Short Hair,None,Female,Black,Brown,White,Small,Short,Not Sure,Not Sure,Yes,Healthy,1,0,Selangor,8855119
148,Cat,2,Domestic Short Hair,None,Mixed,Yellow,Cream,White,Medium,Short,No,No,No,Healthy,2,0,Kuala Lumpur,7183592
149,Dog,48,Mixed Breed,Mixed Breed,Male,Black,Brown,None,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Selangor,9813628
150,Dog,4,Mixed Breed,None,Female,Black,White,None,Medium,Short,Yes,No,No,Healthy,1,0,Negeri Sembilan,9125954
151,Cat,12,Turkish Van,None,Female,Golden,Cream,None,Medium,Medium,Not Sure,Yes,Yes,Healthy,1,0,Selangor,192753
152,Cat,12,Persian,Siamese,Male,Black,White,None,Large,Long,No,Yes,No,Healthy,1,0,Selangor,9000994
153,Cat,3,Domestic Short Hair,None,Female,Gray,White,None,Medium,Short,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,1782593
154,Dog,1,Mixed Breed,None,Mixed,Black,Brown,Golden,Medium,Medium,No,No,No,Healthy,3,0,Selangor,3328073
155,Dog,36,Doberman Pinscher,None,Female,Black,Brown,None,Large,Medium,Not Sure,Not Sure,Not Sure,Minor Injury,1,0,Kuala Lumpur,7562908
156,Dog,12,Mixed Breed,None,Female,Cream,White,None,Medium,Short,Not Sure,Not Sure,Not Sure,Healthy,1,0,Selangor,6455465
157,Dog,2,Mixed Breed,None,Female,Black,Brown,None,Medium,Medium,Yes,Yes,No,Healthy,1,80,Pulau Pinang,1464095
158,Dog,36,Doberman Pinscher,None,Male,Black,None,None,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Perak,5384962
159,Cat,1,Domestic Medium Hair,None,Mixed,Black,Gray,White,Medium,Medium,No,No,No,Healthy,3,0,Kuala Lumpur,6495692
160,Cat,1,Oriental Short Hair,None,Female,Yellow,White,None,Small,Short,No,No,No,Healthy,1,0,Kuala Lumpur,2812996
161,Dog,0,Mixed Breed,None,Female,Black,White,None,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,5,0,Kuala Lumpur,9362556
162,Dog,2,Mixed Breed,None,Female,Brown,None,None,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,8769513
163,Dog,2,Mixed Breed,None,Mixed,Black,Yellow,White,Medium,Short,Yes,Yes,No,Healthy,3,30,Selangor,7025755
164,Dog,2,Mixed Breed,Mixed Breed,Mixed,Brown,None,None,Medium,Medium,No,No,No,Healthy,3,0,Selangor,280116
165,Cat,36,Tuxedo,None,Mixed,Black,Golden,Gray,Medium,Medium,Yes,Yes,Yes,Healthy,5,0,Selangor,7767506
166,Dog,3,Mixed Breed,None,Mixed,Brown,Yellow,Cream,Medium,Short,Not Sure,Not Sure,Not Sure,Healthy,5,0,Pulau Pinang,7240901
167,Dog,2,Mixed Breed,None,Female,Black,Brown,None,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,5887319
168,Dog,1,Mixed Breed,None,Female,Brown,Cream,White,Large,Short,Not Sure,Yes,Not Sure,Healthy,1,0,Kuala Lumpur,5497884
169,Cat,2,Domestic Short Hair,None,Female,Black,Cream,None,Medium,Short,No,Yes,No,Healthy,1,0,Selangor,5520149
170,Cat,2,Siamese,Burmese,Male,Brown,Cream,None,Small,Short,No,No,No,Healthy,1,0,Kuala Lumpur,2258181
171,Dog,2,Mixed Breed,None,Female,Black,Brown,None,Medium,Short,Yes,Yes,No,Healthy,1,80,Selangor,1438780
172,Cat,3,Domestic Short Hair,None,Male,Yellow,None,None,Medium,Short,Not Sure,Yes,No,Healthy,1,0,Kuala Lumpur,1576647
173,Dog,17,Mixed Breed,None,Male,Black,None,None,Medium,Medium,Yes,Yes,Yes,Healthy,1,150,Kuala Lumpur,5252609
174,Dog,2,Mixed Breed,None,Mixed,Black,Brown,White,Medium,Short,Not Sure,Not Sure,Not Sure,Healthy,8,0,Kuala Lumpur,9140541
175,Cat,48,Tabby,None,Male,Black,Brown,White,Large,Short,Yes,Yes,No,Healthy,1,20,Selangor,3263814
176,Cat,1,Domestic Short Hair,None,Male,Black,Brown,None,Medium,Short,No,No,No,Healthy,1,0,Selangor,1653516
177,Cat,5,Domestic Short Hair,Domestic Long Hair,Female,Black,White,None,Medium,Medium,No,No,No,Healthy,1,150,Selangor,7975684
178,Dog,8,Mixed Breed,Labrador Retriever,Male,Black,Brown,None,Medium,Short,Not Sure,Not Sure,Yes,Healthy,1,0,Selangor,9812885
179,Dog,4,Mixed Breed,Mixed Breed,Female,White,None,None,Small,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,8799438
180,Dog,3,Mixed Breed,None,Male,Black,White,None,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,1174575
181,Cat,72,Domestic Short Hair,None,Male,Black,White,None,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,9866114
182,Cat,12,Domestic Short Hair,Calico,Female,Black,Yellow,White,Medium,Short,Not Sure,Not Sure,Not Sure,Healthy,5,0,Kedah,5770840
183,Dog,12,Mixed Breed,None,Female,Black,Brown,None,Medium,Medium,No,Yes,No,Healthy,1,0,Pulau Pinang,7332997
184,Cat,12,Domestic Short Hair,Domestic Short Hair,Male,Golden,White,None,Medium,Short,Yes,Yes,Yes,Healthy,2,0,Kuala Lumpur,7606134
185,Dog,22,Beagle,None,Male,Brown,Cream,White,Medium,Short,Yes,Yes,No,Healthy,1,0,Kuala Lumpur,6781057
186,Dog,36,Mixed Breed,None,Male,Golden,None,None,Medium,Medium,Not Sure,Not Sure,No,Healthy,1,0,Selangor,8072666
187,Dog,2,Mixed Breed,None,Male,Cream,None,None,Medium,Medium,Not Sure,Not Sure,No,Healthy,1,0,Selangor,4758971
188,Cat,4,Tabby,None,Female,Black,Brown,None,Medium,Short,Not Sure,Not Sure,Yes,Healthy,5,0,Johor,4085678
189,Dog,12,Mixed Breed,None,Female,White,None,None,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,6584634
190,Dog,7,Mixed Breed,None,Male,Black,White,None,Small,Short,No,No,No,Healthy,1,50,Selangor,8976368
191,Dog,2,Mixed Breed,None,Male,Black,Brown,None,Medium,Short,No,No,No,Healthy,1,0,Kuala Lumpur,1032236
192,Dog,3,Mixed Breed,None,Female,Brown,White,None,Small,Short,No,Yes,Not Sure,Healthy,3,0,Selangor,9730479
193,Dog,24,Mixed Breed,None,Female,Brown,White,None,Medium,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,681663
194,Dog,1,Mixed Breed,None,Female,Brown,None,None,Medium,Long,No,No,No,Healthy,1,0,Selangor,2210837
195,Dog,1,Mixed Breed,None,Female,Brown,None,None,Medium,Short,No,No,No,Healthy,1,0,Negeri Sembilan,2277283
196,Dog,3,Mixed Breed,None,Male,Golden,None,None,Large,Short,Yes,Yes,No,Healthy,2,0,Selangor,2806720
197,Cat,5,Domestic Short Hair,None,Male,Black,White,None,Small,Short,Yes,No,Not Sure,Healthy,1,0,Kuala Lumpur,7603016
198,Dog,16,Shih Tzu,Maltese,Female,Cream,White,None,Small,Short,Yes,Yes,Not Sure,Healthy,1,0,Kuala Lumpur,2920679
199,Cat,2,Domestic Short Hair,None,Male,Golden,Cream,White,Medium,Short,Yes,Yes,No,Healthy,1,0,Selangor,5880175
200,Cat,2,Domestic Medium Hair,None,Male,Cream,None,None,Small,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Pulau Pinang,6525650
